index,sample,robustness_spec,shock,horizon,control_set,return_lags,shock_std,response_1sd_tightening,response_1sd_easing,asymmetry_pvalue,nobs
ftse250,post_qe,dual_controls,target,10,ftse100+ftse_all_share,5,0.006034745462165063,-0.0003808153276168836,-0.0014788390765554486,0.08828122377114374,4290
ftse250,post_qe,dual_controls,target,20,ftse100+ftse_all_share,5,0.006034745462165063,-0.00043164811636425197,-0.0022352847793136576,0.12404795395825549,4280
ftse250,pre_super_thursday,baseline,path,0,own_lags_only,5,0.00792189879874463,-5.447916844211363e-05,0.00030742640377230267,0.689299674681448,4590
ftse250,pre_super_thursday,baseline,path,5,own_lags_only,5,0.00792189879874463,-0.0003616505510719839,0.0004348032857246844,0.961571831555385,4590
ftse250,pre_super_thursday,baseline,path,10,own_lags_only,5,0.00792189879874463,-0.0003228893156968796,0.001104285876475333,0.7428194150448548,4590
ftse250,pre_super_thursday,baseline,path,20,own_lags_only,5,0.00792189879874463,-0.0003533410399222699,0.0017462973126452536,0.6310251149230748,4590
ftse250,pre_super_thursday,baseline,qe,0,own_lags_only,5,0.008596139514184975,7.545375672696453e-05,-0.00036060915490562003,0.7939561996855375,1621
ftse250,pre_super_thursday,baseline,qe,5,own_lags_only,5,0.008596139514184975,-0.0009515256482332504,0.0002344199270643092,0.7670898122055396,1621
ftse250,pre_super_thursday,baseline,qe,10,own_lags_only,5,0.008596139514184975,-0.00016870601764096098,0.0007650274591170918,0.8623840210686994,1621
ftse250,pre_super_thursday,baseline,qe,20,own_lags_only,5,0.008596139514184975,0.0010537408708575027,0.0036350297403501867,0.21460795903794427,1621
ftse250,pre_super_thursday,baseline,target,0,own_lags_only,5,0.012999276088669019,-0.0007551276586784649,-0.0004914219943455098,0.0248127335758337,4590
ftse250,pre_super_thursday,baseline,target,5,own_lags_only,5,0.012999276088669019,-0.0008511941533205921,-0.0018544588932573357,0.07589293358649618,4590
ftse250,pre_super_thursday,baseline,target,10,own_lags_only,5,0.012999276088669019,-0.0018692196191399276,-0.003297491772947855,0.034649046129746355,4590
ftse250,pre_super_thursday,baseline,target,20,own_lags_only,5,0.012999276088669019,-0.001555802314869183,-0.003224054789117599,0.0748219189037014,4590
ftse250,pre_super_thursday,lag10,path,0,own_lags_only,10,0.00792189879874463,-0.00012090290510588769,0.0003043117186851828,0.7703994321930329,4589
ftse250,pre_super_thursday,lag10,path,5,own_lags_only,10,0.00792189879874463,-0.0004365976336235884,0.0003668146815728762,0.9634291736587851,4589
ftse250,pre_super_thursday,lag10,path,10,own_lags_only,10,0.00792189879874463,-0.0004404744453221387,0.0010577736266708835,0.7950216566966678,4589
ftse250,pre_super_thursday,lag10,path,20,own_lags_only,10,0.00792189879874463,-0.0004982310233092313,0.0016586016736203286,0.6856936459258884,4589
ftse250,pre_super_thursday,lag10,qe,0,own_lags_only,10,0.008596139514184975,8.553969756378155e-05,-0.0003609421692639789,0.8025781040269243,1621
ftse250,pre_super_thursday,lag10,qe,5,own_lags_only,10,0.008596139514184975,-0.000934875715736258,0.00028630293775602013,0.7888170489224652,1621
ftse250,pre_super_thursday,lag10,qe,10,own_lags_only,10,0.008596139514184975,-0.00019866491803908812,0.0008166857398330784,0.8540382742618556,1621
ftse250,pre_super_thursday,lag10,qe,20,own_lags_only,10,0.008596139514184975,0.0009999228516831943,0.003640211047038096,0.2115757281983376,1621
ftse250,pre_super_thursday,lag10,target,0,own_lags_only,10,0.012999276088669019,-0.0007530212887592707,-0.0004487507110666025,0.030390619229605165,4589
ftse250,pre_super_thursday,lag10,target,5,own_lags_only,10,0.012999276088669019,-0.0008913323413285022,-0.0017898650661346326,0.08147966166473647,4589
ftse250,pre_super_thursday,lag10,target,10,own_lags_only,10,0.012999276088669019,-0.0018430744188527757,-0.0032755184382340374,0.038077814562572136,4589
ftse250,pre_super_thursday,lag10,target,20,own_lags_only,10,0.012999276088669019,-0.00149647062169933,-0.0031212664653792704,0.08272286780650144,4589
ftse250,pre_super_thursday,ftse100_controls,path,0,ftse100,5,0.00792189879874463,0.00017247831949116884,0.00024105105153152852,0.13410127111057232,4590
ftse250,pre_super_thursday,ftse100_controls,path,5,ftse100,5,0.00792189879874463,-7.396841840824427e-05,0.00035486475099254916,0.8351328791096368,4590
ftse250,pre_super_thursday,ftse100_controls,path,10,ftse100,5,0.00792189879874463,4.673224875499505e-05,0.0009997922414334089,0.6216618592225531,4590
ftse250,pre_super_thursday,ftse100_controls,path,20,ftse100,5,0.00792189879874463,-4.0276223215133936e-05,0.0016642567674328725,0.5597739802786301,4590
ftse250,pre_super_thursday,ftse100_controls,qe,0,ftse100,5,0.008596139514184975,8.866049533750325e-05,-0.0002422820296317342,0.7162741025254682,1621
ftse250,pre_super_thursday,ftse100_controls,qe,5,ftse100,5,0.008596139514184975,-0.0009562008357026625,0.00027937153051400945,0.7797364418205546,1621
ftse250,pre_super_thursday,ftse100_controls,qe,10,ftse100,5,0.008596139514184975,-0.00024208011314787577,0.0007659412582805401,0.8789013300663086,1621
ftse250,pre_super_thursday,ftse100_controls,qe,20,ftse100,5,0.008596139514184975,0.0009390590913600401,0.00362524579473033,0.25929874111845086,1621
ftse250,pre_super_thursday,ftse100_controls,target,0,ftse100,5,0.012999276088669019,-0.0002503373067805762,6.249982170318546e-05,0.3942406061720929,4590
ftse250,pre_super_thursday,ftse100_controls,target,5,ftse100,5,0.012999276088669019,-0.0002827236466795197,-0.0012182656895968738,0.24119179977418648,4590
ftse250,pre_super_thursday,ftse100_controls,target,10,ftse100,5,0.012999276088669019,-0.00126646469765443,-0.0026335122664028388,0.05970678260454889,4590
ftse250,pre_super_thursday,ftse100_controls,target,20,ftse100,5,0.012999276088669019,-0.0009199232747619499,-0.0025293987247834303,0.16280751820832517,4590
ftse250,pre_super_thursday,allshare_controls,path,0,ftse_all_share,5,0.00792189879874463,0.00014930849313033712,0.00020569972109074814,0.1412121306441819,4590
ftse250,pre_super_thursday,allshare_controls,path,5,ftse_all_share,5,0.00792189879874463,-0.00010079649994188516,0.0003112919635348749,0.8752432692694455,4590
ftse250,pre_super_thursday,allshare_controls,path,10,ftse_all_share,5,0.00792189879874463,1.6628173435309592e-05,0.0009504589277940944,0.6465331859075218,4590
ftse250,pre_super_thursday,allshare_controls,path,20,ftse_all_share,5,0.00792189879874463,-6.981342828408668e-05,0.0016181207278116408,0.5780799421115914,4590
ftse250,pre_super_thursday,allshare_controls,qe,0,ftse_all_share,5,0.008596139514184975,8.215794633569783e-05,-0.00020983819240142352,0.7269411537857974,1621
ftse250,pre_super_thursday,allshare_controls,qe,5,ftse_all_share,5,0.008596139514184975,-0.0009596182099584837,0.00030760187371024674,0.7878909604445651,1621
ftse250,pre_super_thursday,allshare_controls,qe,10,ftse_all_share,5,0.008596139514184975,-0.0002459782423554096,0.0007978755878458129,0.8733988705081276,1621
