Date,Security,Label,PX_LAST
1997-07-10,MCX Index,FTSE 250,4386.2
1997-07-10,ASX Index,FTSE All Share,2237.18
1997-07-11,UKX Index,FTSE 100,4799.5
1997-07-11,MCX Index,FTSE 250,4408.3
1997-07-11,ASX Index,FTSE All Share,2250.41
1997-07-14,UKX Index,FTSE 100,4857.4
1997-07-14,MCX Index,FTSE 250,4423.9
1997-07-14,ASX Index,FTSE All Share,2272.48
1997-07-15,UKX Index,FTSE 100,4899.3
1997-07-15,MCX Index,FTSE 250,4451.5
1997-07-15,ASX Index,FTSE All Share,2289.81
1997-07-16,UKX Index,FTSE 100,4964.2
1997-07-16,MCX Index,FTSE 250,4487.5
1997-07-16,ASX Index,FTSE All Share,2316.03
1997-07-17,UKX Index,FTSE 100,4949.0
1997-07-17,MCX Index,FTSE 250,4500.1
1997-07-17,ASX Index,FTSE All Share,2311.56
1997-07-18,UKX Index,FTSE 100,4877.2
1997-07-18,MCX Index,FTSE 250,4484.1
1997-07-18,ASX Index,FTSE All Share,2284.14
1997-07-21,UKX Index,FTSE 100,4805.7
1997-07-21,MCX Index,FTSE 250,4464.1
1997-07-21,ASX Index,FTSE All Share,2256.49
1997-07-22,UKX Index,FTSE 100,4846.7
1997-07-22,MCX Index,FTSE 250,4461.8
1997-07-22,ASX Index,FTSE All Share,2270.91
1997-07-23,UKX Index,FTSE 100,4874.5
1997-07-23,MCX Index,FTSE 250,4481.8
1997-07-23,ASX Index,FTSE All Share,2282.67
1997-07-24,UKX Index,FTSE 100,4862.9
1997-07-24,MCX Index,FTSE 250,4478.4
1997-07-24,ASX Index,FTSE All Share,2278.04
1997-07-25,UKX Index,FTSE 100,4851.5
1997-07-25,MCX Index,FTSE 250,4474.7
1997-07-25,ASX Index,FTSE All Share,2273.55
1997-07-28,UKX Index,FTSE 100,4862.6
1997-07-28,MCX Index,FTSE 250,4461.2
1997-07-28,ASX Index,FTSE All Share,2276.05
1997-07-29,UKX Index,FTSE 100,4876.6
1997-07-29,MCX Index,FTSE 250,4460.7
1997-07-29,ASX Index,FTSE All Share,2281.11
1997-07-30,UKX Index,FTSE 100,4927.3
1997-07-30,MCX Index,FTSE 250,4482.0
1997-07-30,ASX Index,FTSE All Share,2301.17
1997-07-31,UKX Index,FTSE 100,4907.5
1997-07-31,MCX Index,FTSE 250,4492.0
1997-07-31,ASX Index,FTSE All Share,2295.18
1997-08-01,UKX Index,FTSE 100,4899.3
1997-08-01,MCX Index,FTSE 250,4488.4
1997-08-01,ASX Index,FTSE All Share,2291.97
1997-08-04,UKX Index,FTSE 100,4895.7
1997-08-04,MCX Index,FTSE 250,4485.0
1997-08-04,ASX Index,FTSE All Share,2290.4
1997-08-05,UKX Index,FTSE 100,4960.6
1997-08-05,MCX Index,FTSE 250,4498.6
1997-08-05,ASX Index,FTSE All Share,2314.74
1997-08-06,UKX Index,FTSE 100,5026.2
1997-08-06,MCX Index,FTSE 250,4517.3
1997-08-06,ASX Index,FTSE All Share,2339.74
1997-08-07,UKX Index,FTSE 100,5086.8
1997-08-07,MCX Index,FTSE 250,4598.2
1997-08-07,ASX Index,FTSE All Share,2369.07
1997-08-08,UKX Index,FTSE 100,5031.3
1997-08-08,MCX Index,FTSE 250,4650.5
1997-08-08,ASX Index,FTSE All Share,2354.83
1997-08-11,UKX Index,FTSE 100,5031.9
1997-08-11,MCX Index,FTSE 250,4671.6
1997-08-11,ASX Index,FTSE All Share,2357.52
1997-08-12,UKX Index,FTSE 100,5075.8
1997-08-12,MCX Index,FTSE 250,4700.4
1997-08-12,ASX Index,FTSE All Share,2376.39
1997-08-13,UKX Index,FTSE 100,5003.6
1997-08-13,MCX Index,FTSE 250,4677.0
1997-08-13,ASX Index,FTSE All Share,2348.96
1997-08-14,UKX Index,FTSE 100,4991.3
1997-08-14,MCX Index,FTSE 250,4689.9
1997-08-14,ASX Index,FTSE All Share,2346.32
1997-08-15,UKX Index,FTSE 100,4865.8
1997-08-15,MCX Index,FTSE 250,4698.2
1997-08-15,ASX Index,FTSE All Share,2302.4
1997-08-18,UKX Index,FTSE 100,4835.0
1997-08-18,MCX Index,FTSE 250,4664.0
1997-08-18,ASX Index,FTSE All Share,2287.37
1997-08-19,UKX Index,FTSE 100,4914.2
1997-08-19,MCX Index,FTSE 250,4680.8
1997-08-19,ASX Index,FTSE All Share,2317.83
1997-08-20,UKX Index,FTSE 100,4958.4
1997-08-20,MCX Index,FTSE 250,4687.4
1997-08-20,ASX Index,FTSE All Share,2334.91
1997-08-21,UKX Index,FTSE 100,4978.0
1997-08-21,MCX Index,FTSE 250,4688.0
1997-08-21,ASX Index,FTSE All Share,2342.5
1997-08-22,UKX Index,FTSE 100,4901.1
1997-08-22,MCX Index,FTSE 250,4658.7
1997-08-22,ASX Index,FTSE All Share,2312.11
1997-08-26,UKX Index,FTSE 100,4886.3
1997-08-26,MCX Index,FTSE 250,4650.0
1997-08-26,ASX Index,FTSE All Share,2306.04
1997-08-27,UKX Index,FTSE 100,4906.9
1997-08-27,MCX Index,FTSE 250,4649.6
1997-08-27,ASX Index,FTSE All Share,2313.32
1997-08-28,UKX Index,FTSE 100,4845.4
1997-08-28,MCX Index,FTSE 250,4621.4
1997-08-28,ASX Index,FTSE All Share,2288.59
1997-08-29,UKX Index,FTSE 100,4817.5
1997-08-29,MCX Index,FTSE 250,4603.4
1997-08-29,ASX Index,FTSE All Share,2276.72
1997-09-01,UKX Index,FTSE 100,4870.2
1997-09-01,MCX Index,FTSE 250,4610.2
1997-09-01,ASX Index,FTSE All Share,2296.0
1997-09-02,UKX Index,FTSE 100,4952.2
1997-09-02,MCX Index,FTSE 250,4633.2
1997-09-02,ASX Index,FTSE All Share,2327.82
1997-09-03,UKX Index,FTSE 100,4976.9
1997-09-03,MCX Index,FTSE 250,4646.5
1997-09-03,ASX Index,FTSE All Share,2338.29
1997-09-04,UKX Index,FTSE 100,4991.3
1997-09-04,MCX Index,FTSE 250,4663.6
1997-09-04,ASX Index,FTSE All Share,2345.24
1997-09-05,UKX Index,FTSE 100,4994.2
1997-09-05,MCX Index,FTSE 250,4681.0
1997-09-05,ASX Index,FTSE All Share,2348.39
1997-09-08,UKX Index,FTSE 100,4985.2
1997-09-08,MCX Index,FTSE 250,4686.1
1997-09-08,ASX Index,FTSE All Share,2346.18
1997-09-09,UKX Index,FTSE 100,4950.5
1997-09-09,MCX Index,FTSE 250,4677.0
1997-09-09,ASX Index,FTSE All Share,2333.11
1997-09-10,UKX Index,FTSE 100,4905.2
1997-09-10,MCX Index,FTSE 250,4664.7
1997-09-10,ASX Index,FTSE All Share,2316.01
1997-09-11,UKX Index,FTSE 100,4854.8
1997-09-11,MCX Index,FTSE 250,4633.2
1997-09-11,ASX Index,FTSE All Share,2294.72
1997-09-12,UKX Index,FTSE 100,4848.2
1997-09-12,MCX Index,FTSE 250,4630.8
1997-09-12,ASX Index,FTSE All Share,2292.01
1997-09-15,UKX Index,FTSE 100,4902.9
1997-09-15,MCX Index,FTSE 250,4636.9
1997-09-15,ASX Index,FTSE All Share,2312.22
1997-09-16,UKX Index,FTSE 100,4976.4
1997-09-16,MCX Index,FTSE 250,4642.8
1997-09-16,ASX Index,FTSE All Share,2339.19
1997-09-17,UKX Index,FTSE 100,5013.1
1997-09-17,MCX Index,FTSE 250,4686.8
1997-09-17,ASX Index,FTSE All Share,2356.67
1997-09-18,UKX Index,FTSE 100,5046.2
1997-09-18,MCX Index,FTSE 250,4701.8
1997-09-18,ASX Index,FTSE All Share,2370.17
1997-09-19,UKX Index,FTSE 100,5023.8
1997-09-19,MCX Index,FTSE 250,4701.2
1997-09-19,ASX Index,FTSE All Share,2362.31
1997-09-22,UKX Index,FTSE 100,5075.7
1997-09-22,MCX Index,FTSE 250,4707.2
1997-09-22,ASX Index,FTSE All Share,2381.51
1997-09-23,UKX Index,FTSE 100,5027.5
