index,sample,robustness_spec,v4_specification,shock,regime,regime_label,horizon,beta_pos,se_pos,pvalue_pos,ci_lower_pos,ci_upper_pos,beta_neg,se_neg,pvalue_neg,ci_lower_neg,ci_upper_neg,nobs,r_squared,return_lags,control_set
ftse250,full,dual_controls,regime_interactions,path,post_super_thursday,Post Super Thursday,9,-0.10127254559619805,0.34925224562055135,0.7718394691053101,-0.7858069470124787,0.5832618558200826,0.1425281838202855,0.3017217287991994,0.6366535110782563,-0.4488464046261452,0.7339027722667163,7260,0.1098464955583599,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,covid_period,COVID onward,9,0.6615211994002128,0.4244623692704302,0.11911666708725606,-0.1704250443698303,1.493467443170256,0.004573055190322195,0.30527946093707514,0.9880482176460124,-0.593774688246345,0.6029207986269896,7260,0.1098464955583599,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,qt_period,QT onward,9,-1.5661777986976122,0.3601229692628103,1.3675450873054273e-05,-2.2720188184527204,-0.860336778942504,0.2591218910084856,0.2475908586241955,0.29529659113197826,-0.22615619189493757,0.7443999739119087,7260,0.1098464955583599,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,baseline,Baseline,10,-0.32158349162896277,0.14867381819642944,0.030540133141330885,-0.6129841752939644,-0.030182807963961056,0.07449375957733442,0.12281274285765259,0.5441404539921606,-0.16621921642366466,0.3152067355783335,7259,0.09976432942763269,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_qe,Post QE,10,0.12258434511240818,0.26773708551172615,0.6470577406940017,-0.40218034249057505,0.6473490327153915,-0.17738910705161573,0.19163032619975984,0.3546102790230825,-0.552984546403145,0.19820633229991355,7259,0.09976432942763269,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_super_thursday,Post Super Thursday,10,-0.04939612922101794,0.38665941691043687,0.8983460243536219,-0.8072485863654741,0.7084563279234384,0.2166140939722988,0.2926614087216602,0.4592074230032107,-0.3570022671221551,0.7902304550667527,7259,0.09976432942763269,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,covid_period,COVID onward,10,0.5273369527496587,0.40206829053160736,0.18966841375400856,-0.2607168966922917,1.3153908021916092,-0.19543465544424746,0.33338990475799496,0.5577381121014497,-0.8488788687699176,0.4580095578814227,7259,0.09976432942763269,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,qt_period,QT onward,10,-1.6913887114909896,0.34673533037195464,1.0714535555754594e-06,-2.3709899590200205,-1.0117874639619586,0.42852393876095884,0.2947993536484781,0.14605385094329962,-0.1492827943900582,1.006330671911976,7259,0.09976432942763269,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,baseline,Baseline,11,-0.37700405719437086,0.15990664398491625,0.018390974589269048,-0.6904210794048067,-0.06358703498393503,0.05813781976122272,0.13639712685703972,0.669933462533924,-0.20920054887857514,0.3254761884010206,7258,0.09189213844200905,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_qe,Post QE,11,0.1540445928360959,0.25653356300613245,0.5481829605152316,-0.34876119065592365,0.6568503763281155,-0.17312131112460089,0.20611940486290775,0.4009600424380967,-0.5771153446559001,0.23087272240669832,7258,0.09189213844200905,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_super_thursday,Post Super Thursday,11,-0.04285012692641604,0.37430514178593943,0.9088579895985008,-0.7764882048268573,0.6907879509740251,0.16843512917321113,0.3249830513471466,0.6042566713041981,-0.4685316514671962,0.8054019098136185,7258,0.09189213844200905,5,ftse100+ftse_all_share
