index,sample,robustness_spec,shock,horizon,beta_tightening,se_tightening,pvalue_tightening,ci_lower_tightening,ci_upper_tightening,beta_easing,se_easing,pvalue_easing,ci_lower_easing,ci_upper_easing,asymmetry_test_stat,asymmetry_pvalue,nobs,r_squared,return_lags,control_set
ftse250,full,baseline,target,12,-0.19047250744753816,0.08898826722006019,0.032320621412716306,-0.36488951119885615,-0.01605550369622019,-0.21356409251412947,0.09688614479153718,0.027504730218372908,-0.40346093630554236,-0.02366724872271661,0.19149032847561528,0.8481414570995649,7257,0.005412388967484194,5,own_lags_only
ftse250,full,baseline,target,13,-0.1904431422738384,0.09524834657333316,0.045561008034799066,-0.3771299015575714,-0.003756382990105417,-0.21417700685065577,0.09594117948535515,0.025589970989883463,-0.4022217186419519,-0.026132295059359684,0.1893532447570175,0.8498159667675302,7256,0.005471234565422423,5,own_lags_only
ftse250,full,baseline,target,14,-0.17224292895915655,0.09702092375587806,0.07584550272143743,-0.3624039395206775,0.01791808160236444,-0.2371200131099873,0.08943205178766432,0.008015918848051473,-0.41240683461380934,-0.06183319160616521,0.5314722558570386,0.5950915621384321,7255,0.005641586229741979,5,own_lags_only
ftse250,full,baseline,target,15,-0.16513740555021422,0.09702853475740407,0.08876533902185593,-0.3553133336747262,0.025038522574297756,-0.19451383500146283,0.08200916947843842,0.017699048849169206,-0.35525180717920213,-0.033775862823723524,0.25962458550712947,0.7951533699757825,7254,0.004696144337035801,5,own_lags_only
ftse250,full,baseline,target,16,-0.15202937345473574,0.09862879045240441,0.12321217474325154,-0.3453418027414484,0.04128305583197689,-0.19925215493782367,0.08023420497640445,0.013014155978337882,-0.3565111966915764,-0.04199311318407095,0.41254548105647587,0.6799396520598695,7253,0.003577855462243207,5,own_lags_only
ftse250,full,baseline,target,17,-0.18661368885441373,0.0922652359325975,0.04311661558847768,-0.36745355128230484,-0.0057738264265226324,-0.23884561283757452,0.10396761714168413,0.021601219880392313,-0.4426221424352754,-0.03506908323987362,0.42631859322450916,0.6698757112874946,7252,0.0032212794926914645,5,own_lags_only
ftse250,full,baseline,target,18,-0.14898872720155004,0.10657040830141211,0.1621037788062093,-0.35786672747231774,0.05988927306921768,-0.21229103563908527,0.10430170177508755,0.04181512197936011,-0.41672237111825683,-0.00785970015991369,0.48514070076320437,0.6275765425966815,7251,0.002691404649666884,5,own_lags_only
ftse250,full,baseline,target,19,-0.09655276836539291,0.1124088495041244,0.39037209215545865,-0.3168741133934767,0.12376857666269091,-0.2193650003256621,0.10508488826543151,0.036842706637808156,-0.42533138132590786,-0.013398619325416361,0.9102614497236419,0.362684643854818,7250,0.002471637652996961,5,own_lags_only
ftse250,full,baseline,target,20,-0.087581648595269,0.12141183882527563,0.47068802722139313,-0.32554885269280925,0.15038555550227123,-0.21994830380661615,0.1122495781493788,0.05005920530796156,-0.4399574769793986,6.086936616631067e-05,0.9080958515773503,0.36382758204601995,7249,0.002685918751176186,5,own_lags_only
ftse250,full,lag10,path,0,-0.044054602301495625,0.03752790146328909,0.2404286909132184,-0.11760928916954225,0.02950008456655099,0.046880316088488735,0.03123473164316328,0.1333805389946688,-0.014339757932111293,0.10810039010908876,-2.1681628509071666,0.03014629820408245,7268,0.01703509124857172,10,own_lags_only
